GEOID,county,Pop,White,Black,Asian,Hispanic
48439105512,439,5107,43.22,19.42,2.62,31.33
48439105513,439,3128,42.55,26.34,1.89,26.37
48439105514,439,2992,33.46,26.7,4.48,32.95
48439105515,439,6952,33.44,28.97,6.72,24.48
48439105516,439,2533,48.09,22.07,0.83,28.19
48439105517,439,3559,32.37,27.68,18.26,21.02
48439105518,439,3464,68.56,4.97,6.32,14.78
48113006501,113,6113,4.32,0.47,0.15,94.75
48113006502,113,4387,6.88,0.27,0.0,92.34
48113006701,113,5128,1.62,1.21,0.0,97.02
48113006702,113,2523,4.44,0.0,0.32,93.66
48113006800,113,4993,14.74,6.85,0.66,77.37
48113006900,113,4287,15.33,7.56,0.0,74.41
48113007101,113,2445,84.7,1.06,3.84,9.28
48113007102,113,5349,40.76,24.85,4.24,26.83
48113007203,113,3594,21.68,8.57,0.0,69.12
48113007204,113,4154,16.83,9.29,0.0,73.88
48113007205,113,4829,12.36,1.08,0.0,86.56
48113007206,113,3316,21.83,1.03,0.0,77.14
48113007301,113,1509,93.9,0.2,0.0,3.18
48113007302,113,4119,78.25,2.84,0.95,15.42
48113007601,113,1840,80.49,0.76,6.52,8.8
48113007604,113,2886,87.46,0.0,6.48,2.46
48113007605,113,1621,87.35,0.0,6.35,2.84
48113007701,113,2073,86.44,0.34,8.44,4.63
48113007702,113,3301,87.55,0.0,2.18,5.0
48113007801,113,2463,88.23,2.6,2.56,4.55
48113007805,113,2515,55.55,21.27,0.0,21.75
48113007809,113,3314,50.09,17.59,10.05,21.03
48113007810,113,4749,45.59,29.37,6.78,13.86
48113007812,113,2873,82.53,4.8,5.53,5.71
48113007815,113,5607,9.77,32.53,33.39,19.24
48113007819,113,2368,22.55,26.6,7.01,43.07
48113007821,113,3946,12.8,24.0,11.89,49.14
48113007822,113,1785,47.28,24.37,3.25,23.08
48113007823,113,1893,26.04,23.24,6.34,39.09
48113007824,113,2051,84.2,1.02,2.29,12.48
48113007825,113,5637,39.08,22.05,2.73,36.14
48113007826,113,1301,35.51,24.29,4.84,32.21
48113007827,113,3152,28.84,33.34,0.0,32.65
48113007828,113,5461,17.69,59.68,5.82,8.7
48113007829,113,3100,3.9,68.03,2.0,26.06
